client_id,age,job,marital,education,credit_default,housing,loan,contact,month,day,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,y
20000,42,self-employed,married,university.degree,no,yes,no,cellular,aug,20,219,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
20001,35,technician,divorced,professional.course,no,no,no,cellular,aug,22,424,4,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
20002,38,entrepreneur,married,university.degree,no,unknown,unknown,cellular,aug,19,188,5,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
20003,46,blue-collar,married,basic.4y,no,no,no,cellular,aug,6,492,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
20004,33,technician,divorced,high.school,no,no,no,cellular,aug,9,174,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
20005,44,admin.,married,high.school,unknown,yes,no,cellular,aug,10,453,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
20006,42,self-employed,married,university.degree,no,yes,no,cellular,aug,16,59,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
20007,34,admin.,divorced,high.school,no,yes,no,cellular,aug,22,263,5,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
20008,33,admin.,divorced,high.school,no,yes,no,cellular,aug,11,57,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
20009,35,admin.,married,university.degree,no,yes,no,cellular,aug,2,329,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
20010,32,technician,single,university.degree,no,yes,no,cellular,aug,18,166,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
20011,58,self-employed,married,university.degree,no,yes,no,cellular,aug,4,72,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
20012,45,management,married,university.degree,no,yes,no,cellular,aug,3,334,4,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
20013,39,technician,divorced,professional.course,no,yes,no,cellular,aug,7,108,4,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
